Plaza,PlazaName,Date,TotalCars
21,Catskill,2019-04-19,148548
21,Catskill,2019-04-20,125671
21,Catskill,2019-04-21,134989
21,Catskill,2019-04-22,139565
21,Catskill,2019-04-23,142740
21,Catskill,2019-04-24,148270
21,Catskill,2019-04-25,147015
21,Catskill,2019-04-26,145282
21,Catskill,2019-04-27,145368
21,Catskill,2019-04-28,131914
21,Catskill,2019-04-29,141398
21,Catskill,2019-04-30,144206
21,Catskill,2019-05-01,148097
21,Catskill,2019-05-02,154312
21,Catskill,2019-05-03,159849
21,Catskill,2019-05-04,143253
21,Catskill,2019-05-05,128575
21,Catskill,2019-05-06,147420
21,Catskill,2019-05-07,146267
21,Catskill,2019-05-08,153280
21,Catskill,2019-05-09,156373
21,Catskill,2019-05-10,157952
21,Catskill,2019-05-11,148579
21,Catskill,2019-05-12,130588
21,Catskill,2019-05-13,139789
21,Catskill,2019-05-14,144161
21,Catskill,2019-05-15,154377
21,Catskill,2019-05-16,157794
21,Catskill,2019-05-17,164596
21,Catskill,2019-05-18,162031
21,Catskill,2019-05-19,147349
21,Catskill,2019-05-20,147581
21,Catskill,2019-05-21,156443
21,Catskill,2019-05-22,156526
21,Catskill,2019-05-23,158641
21,Catskill,2019-05-24,159041
21,Catskill,2019-05-25,135623
21,Catskill,2019-05-26,125957
21,Catskill,2019-05-27,123477
21,Catskill,2019-05-28,144049
21,Catskill,2019-05-29,149395
21,Catskill,2019-05-30,150997
21,Catskill,2019-05-31,169783
21,Catskill,2019-06-01,154166
21,Catskill,2019-06-02,140376
21,Catskill,2019-06-03,148413
21,Catskill,2019-06-04,148264
21,Catskill,2019-06-05,149862
21,Catskill,2019-06-06,156154
21,Catskill,2019-06-07,159584
21,Catskill,2019-06-08,140940
21,Catskill,2019-06-09,136258
21,Catskill,2019-06-10,139089
21,Catskill,2019-06-11,148060
21,Catskill,2019-06-12,150275
21,Catskill,2019-06-13,148592
21,Catskill,2019-06-16,148234
21,Catskill,2019-06-17,148114
21,Catskill,2019-06-18,144618
21,Catskill,2019-06-19,150535
21,Catskill,2019-06-20,153466
21,Catskill,2019-06-21,157891
21,Catskill,2019-06-22,153127
21,Catskill,2019-06-23,147100
21,Catskill,2019-06-24,156350
21,Catskill,2019-06-25,149852
21,Catskill,2019-06-26,157394
21,Catskill,2019-06-27,157292
21,Catskill,2019-06-28,156371
21,Catskill,2019-06-29,143119
